기준년월,행정동코드,매출금액,활성화비율,행정구역,총인구수,월유동인구수,년도,가맹점수_소매,가맹점수_숙박,가맹점수_음식,가맹점수_부동산,가맹점수_과학·기술,가맹점수_시설관리·임대,가맹점수_교육,가맹점수_보건의료,가맹점수_예술·스포츠,가맹점수_수리·개인,가맹점수_기타
202502,4111157300,1177815.0,100.0,경기도 수원시 장안구 정자3동,38876.0,643428.1,2025,195,0,283,1,12,7,252,49,55,122,20
202503,4111157300,910937.0,100.0,경기도 수원시 장안구 정자3동,38812.0,732644.75,2025,195,0,283,1,12,7,252,49,55,122,20
202504,4111157300,833920.0,100.0,경기도 수원시 장안구 정자3동,38713.0,734593.8,2025,195,0,283,1,12,7,252,49,55,122,20
202505,4111157300,922333.0,100.0,경기도 수원시 장안구 정자3동,38674.0,717949.6,2025,195,0,283,1,12,7,252,49,55,122,20
202506,4111157300,801239.0,100.0,경기도 수원시 장안구 정자3동,38626.0,690842.0,2025,195,0,283,1,12,7,252,49,55,122,20
202307,4111158000,33411040.0,100.0,경기도 수원시 장안구 영화동,19165.0,260519.95,2023,267,14,388,0,13,2,20,25,38,125,18
202308,4111158000,4283255.0,100.0,경기도 수원시 장안구 영화동,19057.0,286291.47,2023,267,14,388,0,13,2,20,25,38,125,18
202309,4111158000,404919.0,100.0,경기도 수원시 장안구 영화동,19008.0,312358.84,2023,267,14,388,0,13,2,20,25,38,125,18
202310,4111158000,407164.0,100.0,경기도 수원시 장안구 영화동,18839.0,282059.5,2023,267,14,388,0,13,2,20,25,38,125,18
202311,4111158000,402210.0,100.0,경기도 수원시 장안구 영화동,18704.0,280167.38,2023,267,14,388,0,13,2,20,25,38,125,18
202312,4111158000,279032.0,100.0,경기도 수원시 장안구 영화동,18624.0,297870.88,2023,267,14,388,0,13,2,20,25,38,125,18
202401,4111158000,423804.0,100.0,경기도 수원시 장안구 영화동,18589.0,364333.03,2024,260,12,378,0,13,2,28,25,38,122,21
202402,4111158000,281669.0,100.0,경기도 수원시 장안구 영화동,18544.0,418246.4,2024,260,12,378,0,13,2,28,25,38,122,21
202403,4111158000,168250.0,100.0,경기도 수원시 장안구 영화동,18484.0,409675.75,2024,260,12,378,0,13,2,28,25,38,122,21
202404,4111158000,306342.0,100.0,경기도 수원시 장안구 영화동,18408.0,397945.88,2024,260,12,378,0,13,2,28,25,38,122,21
202405,4111158000,259364.0,100.0,경기도 수원시 장안구 영화동,18335.0,405274.1,2024,260,12,378,0,13,2,28,25,38,122,21
202406,4111158000,209288.0,100.0,경기도 수원시 장안구 영화동,18289.0,385433.62,2024,260,12,378,0,13,2,28,25,38,122,21
202407,4111158000,214184.0,100.0,경기도 수원시 장안구 영화동,18240.0,389617.62,2024,260,12,378,0,13,2,28,25,38,122,21
202408,4111158000,273872.0,100.0,경기도 수원시 장안구 영화동,18198.0,347939.38,2024,260,12,378,0,13,2,28,25,38,122,21
202409,4111158000,260729.0,100.0,경기도 수원시 장안구 영화동,18182.0,281557.47,2024,260,12,378,0,13,2,28,25,38,122,21
202410,4111158000,203325.0,100.0,경기도 수원시 장안구 영화동,18079.0,261649.7,2024,260,12,378,0,13,2,28,25,38,122,21
202411,4111158000,347108.0,100.0,경기도 수원시 장안구 영화동,18030.0,253658.0,2024,260,12,378,0,13,2,28,25,38,122,21
202412,4111158000,182387.0,100.0,경기도 수원시 장안구 영화동,18026.0,248775.19,2024,260,12,378,0,13,2,28,25,38,122,21
202501,4111158000,213792.0,100.0,경기도 수원시 장안구 영화동,18005.0,266393.03,2025,243,11,361,1,13,3,26,25,37,111,17
