행정동코드,행정구역,기준연월,총인구수
4111356000,경기도 수원시 권선구 서둔동,202412,37039.0
4111356000,경기도 수원시 권선구 서둔동,202501,37109.0
4111356000,경기도 수원시 권선구 서둔동,202502,37246.0
4111356000,경기도 수원시 권선구 서둔동,202503,37272.0
4111356000,경기도 수원시 권선구 서둔동,202504,37320.0
4111356000,경기도 수원시 권선구 서둔동,202505,37286.0
4111356000,경기도 수원시 권선구 서둔동,202506,37323.0
4111365000,경기도 수원시 권선구 구운동,202307,23565.0
4111365000,경기도 수원시 권선구 구운동,202308,23447.0
4111365000,경기도 수원시 권선구 구운동,202309,23352.0
4111365000,경기도 수원시 권선구 구운동,202310,23309.0
4111365000,경기도 수원시 권선구 구운동,202311,23229.0
4111365000,경기도 수원시 권선구 구운동,202312,23150.0
4111365000,경기도 수원시 권선구 구운동,202401,23125.0
4111365000,경기도 수원시 권선구 구운동,202402,23109.0
4111365000,경기도 수원시 권선구 구운동,202403,23072.0
4111365000,경기도 수원시 권선구 구운동,202404,22966.0
4111365000,경기도 수원시 권선구 구운동,202405,22935.0
4111365000,경기도 수원시 권선구 구운동,202406,22912.0
4111365000,경기도 수원시 권선구 구운동,202407,22876.0
4111365000,경기도 수원시 권선구 구운동,202408,22827.0
4111365000,경기도 수원시 권선구 구운동,202409,22789.0
4111365000,경기도 수원시 권선구 구운동,202410,22760.0
4111365000,경기도 수원시 권선구 구운동,202411,22762.0
4111365000,경기도 수원시 권선구 구운동,202412,22757.0
4111365000,경기도 수원시 권선구 구운동,202501,22706.0
4111365000,경기도 수원시 권선구 구운동,202502,22686.0
4111365000,경기도 수원시 권선구 구운동,202503,22631.0
4111365000,경기도 수원시 권선구 구운동,202504,22611.0
4111365000,경기도 수원시 권선구 구운동,202505,22568.0
4111365000,경기도 수원시 권선구 구운동,202506,22583.0
4111366200,경기도 수원시 권선구 금곡동,202307,44425.0
4111366200,경기도 수원시 권선구 금곡동,202308,44342.0
4111366200,경기도 수원시 권선구 금곡동,202309,44192.0
4111366200,경기도 수원시 권선구 금곡동,202310,44109.0
4111366200,경기도 수원시 권선구 금곡동,202311,44115.0
4111366200,경기도 수원시 권선구 금곡동,202312,44027.0
4111366200,경기도 수원시 권선구 금곡동,202401,44016.0
4111366200,경기도 수원시 권선구 금곡동,202402,44062.0
4111366200,경기도 수원시 권선구 금곡동,202403,44409.0
4111366200,경기도 수원시 권선구 금곡동,202404,44535.0
4111366200,경기도 수원시 권선구 금곡동,202405,44498.0
4111366200,경기도 수원시 권선구 금곡동,202406,44512.0
4111366200,경기도 수원시 권선구 금곡동,202407,44735.0
4111366200,경기도 수원시 권선구 금곡동,202408,44808.0
4111366200,경기도 수원시 권선구 금곡동,202409,44780.0
4111366200,경기도 수원시 권선구 금곡동,202410,44749.0
4111366200,경기도 수원시 권선구 금곡동,202411,44751.0
