기준월,행정동코드,매출금액,행정구역,총인구수,월유동인구수,년도,spatial_cluster
2,4117354000,650614,경기도 안양시 동안구 부흥동,15973,1362993.1,2025,0
3,4117354000,709206,경기도 안양시 동안구 부흥동,15982,1427700.2,2025,0
4,4117354000,640146,경기도 안양시 동안구 부흥동,15947,1413282.4,2025,0
5,4117354000,603160,경기도 안양시 동안구 부흥동,15958,1594628.9,2025,0
6,4117354000,538732,경기도 안양시 동안구 부흥동,15948,1294966.8,2025,0
7,4117354600,33111507,경기도 안양시 동안구 달안동,10123,345710.8,2023,0
8,4117354600,7227389,경기도 안양시 동안구 달안동,10099,351634.8,2023,0
9,4117354600,760042,경기도 안양시 동안구 달안동,10058,353537.84,2023,0
10,4117354600,579766,경기도 안양시 동안구 달안동,10024,380135.47,2023,0
11,4117354600,519652,경기도 안양시 동안구 달안동,9991,382819.3,2023,0
12,4117354600,593456,경기도 안양시 동안구 달안동,9952,391339.78,2023,0
1,4117354600,476088,경기도 안양시 동안구 달안동,9924,403290.72,2024,0
2,4117354600,313918,경기도 안양시 동안구 달안동,9921,375263.12,2024,0
3,4117354600,208218,경기도 안양시 동안구 달안동,9914,410441.3,2024,0
4,4117354600,418216,경기도 안양시 동안구 달안동,9900,444533.34,2024,0
5,4117354600,269142,경기도 안양시 동안구 달안동,9896,438188.88,2024,0
6,4117354600,410868,경기도 안양시 동안구 달안동,9867,422789.22,2024,0
7,4117354600,455244,경기도 안양시 동안구 달안동,9779,469693.8,2024,0
8,4117354600,304434,경기도 안양시 동안구 달안동,9729,463460.06,2024,0
9,4117354600,563404,경기도 안양시 동안구 달안동,9697,461584.06,2024,0
10,4117354600,348914,경기도 안양시 동안구 달안동,9613,547372.25,2024,0
11,4117354600,441564,경기도 안양시 동안구 달안동,9530,520089.3,2024,0
12,4117354600,426430,경기도 안양시 동안구 달안동,9530,505298.72,2024,0
1,4117354600,694796,경기도 안양시 동안구 달안동,9547,506156.0,2025,0
2,4117354600,547340,경기도 안양시 동안구 달안동,9492,514168.22,2025,0
3,4117354600,758726,경기도 안양시 동안구 달안동,9472,552739.75,2025,0
4,4117354600,552074,경기도 안양시 동안구 달안동,9473,561411.2,2025,0
5,4117354600,391778,경기도 안양시 동안구 달안동,9467,561690.9,2025,0
6,4117354600,427094,경기도 안양시 동안구 달안동,9453,578588.0,2025,0
7,4117356600,137424925,경기도 안양시 동안구 부림동,25977,1531235.6,2023,0
8,4117356600,17474400,경기도 안양시 동안구 부림동,25993,1439510.6,2023,0
9,4117356600,112977,경기도 안양시 동안구 부림동,25949,1402404.4,2023,0
10,4117356600,541895,경기도 안양시 동안구 부림동,25934,1419673.1,2023,0
11,4117356600,228511,경기도 안양시 동안구 부림동,25924,1380621.4,2023,0
12,4117356600,139921,경기도 안양시 동안구 부림동,25847,1416055.1,2023,0
1,4117356600,178642,경기도 안양시 동안구 부림동,25801,1385769.0,2024,0
2,4117356600,98123,경기도 안양시 동안구 부림동,25866,1286514.1,2024,0
3,4117356600,30271,경기도 안양시 동안구 부림동,25848,1409519.9,2024,0
4,4117356600,85077,경기도 안양시 동안구 부림동,25818,1526373.0,2024,0
5,4117356600,86352,경기도 안양시 동안구 부림동,25872,1518321.9,2024,0
6,4117356600,57972,경기도 안양시 동안구 부림동,25970,1444713.0,2024,0
7,4117356600,108287,경기도 안양시 동안구 부림동,26026,1544121.2,2024,0
8,4117356600,49824,경기도 안양시 동안구 부림동,26091,1451917.8,2024,0
9,4117356600,56273,경기도 안양시 동안구 부림동,26059,1503711.0,2024,0
10,4117356600,58322,경기도 안양시 동안구 부림동,26084,1486710.2,2024,0
11,4117356600,112366,경기도 안양시 동안구 부림동,26015,1423053.9,2024,0
12,4117356600,97457,경기도 안양시 동안구 부림동,26070,1404309.4,2024,0
1,4117356600,28817,경기도 안양시 동안구 부림동,26166,1404426.9,2025,0
2,4117356600,447106,경기도 안양시 동안구 부림동,26179,1326170.4,2025,0
3,4117356600,159635,경기도 안양시 동안구 부림동,26168,1395384.9,2025,0
4,4117356600,63327,경기도 안양시 동안구 부림동,26222,1347606.9,2025,0
5,4117356600,220594,경기도 안양시 동안구 부림동,26255,1340741.1,2025,0
6,4117356600,44884,경기도 안양시 동안구 부림동,26242,1251828.0,2025,0
7,4117357000,131434484,경기도 안양시 동안구 평촌동,14097,108555.88,2023,0
8,4117357000,25380755,경기도 안양시 동안구 평촌동,14090,112117.72,2023,0
9,4117357000,5081155,경기도 안양시 동안구 평촌동,14078,104191.78,2023,0
10,4117357000,4275427,경기도 안양시 동안구 평촌동,14088,106264.58,2023,0
11,4117357000,5429525,경기도 안양시 동안구 평촌동,14088,105856.9,2023,0
12,4117357000,3315985,경기도 안양시 동안구 평촌동,14047,107834.52,2023,0
1,4117357000,1954417,경기도 안양시 동안구 평촌동,14007,108186.35,2024,0
2,4117357000,1502747,경기도 안양시 동안구 평촌동,14002,101004.26,2024,0
3,4117357000,828765,경기도 안양시 동안구 평촌동,13996,110909.9,2024,0
4,4117357000,1239036,경기도 안양시 동안구 평촌동,13983,110740.66,2024,0
5,4117357000,900229,경기도 안양시 동안구 평촌동,13997,116185.83,2024,0
6,4117357000,1183877,경기도 안양시 동안구 평촌동,13951,117800.91,2024,0
7,4117357000,927506,경기도 안양시 동안구 평촌동,13900,120116.89,2024,0
8,4117357000,1106372,경기도 안양시 동안구 평촌동,13861,116616.44,2024,0
9,4117357000,1726392,경기도 안양시 동안구 평촌동,13865,117527.43,2024,0
10,4117357000,990321,경기도 안양시 동안구 평촌동,13826,115039.25,2024,0
11,4117357000,1615010,경기도 안양시 동안구 평촌동,13829,110772.91,2024,0
12,4117357000,2401145,경기도 안양시 동안구 평촌동,14078,120554.28,2024,0
1,4117357000,2543781,경기도 안양시 동안구 평촌동,14359,122412.56,2025,0
2,4117357000,2162369,경기도 안양시 동안구 평촌동,14649,116238.5,2025,0
3,4117357000,2098191,경기도 안양시 동안구 평촌동,14814,120136.26,2025,0
4,4117357000,1585851,경기도 안양시 동안구 평촌동,14860,117887.59,2025,0
5,4117357000,1190759,경기도 안양시 동안구 평촌동,14939,118410.51,2025,0
6,4117357000,1043211,경기도 안양시 동안구 평촌동,14915,118717.98,2025,0
7,4117357600,38255986,경기도 안양시 동안구 평안동,23070,1798238.4,2023,0
8,4117357600,6562719,경기도 안양시 동안구 평안동,23040,1598480.0,2023,0
9,4117357600,699489,경기도 안양시 동안구 평안동,22968,1605370.2,2023,0
10,4117357600,735396,경기도 안양시 동안구 평안동,23013,1641966.0,2023,0
11,4117357600,504738,경기도 안양시 동안구 평안동,22995,1604434.2,2023,0
12,4117357600,680894,경기도 안양시 동안구 평안동,22945,1617951.6,2023,0
1,4117357600,531695,경기도 안양시 동안구 평안동,22907,1557410.2,2024,0
2,4117357600,322921,경기도 안양시 동안구 평안동,22888,1379507.2,2024,0
